duration,month,hour,day_of_week,user_type
7.65,9,6,Tuesday,Subscriber
8.92,9,7,Tuesday,Subscriber
7.42,9,8,Tuesday,Subscriber
5.5,9,8,Tuesday,Subscriber
16.17,9,8,Tuesday,Subscriber
4.2,9,8,Tuesday,Subscriber
8.98,9,8,Tuesday,Subscriber
9.62,9,8,Tuesday,Subscriber
11.48,9,9,Tuesday,Subscriber
14.33,9,9,Tuesday,Subscriber
19.02,9,10,Tuesday,Subscriber
21.53,9,10,Tuesday,Subscriber
3.9,9,11,Tuesday,Subscriber
7.97,9,13,Tuesday,Customer
2.63,9,14,Tuesday,Subscriber
2.67,9,14,Tuesday,Subscriber
3.08,9,14,Tuesday,Subscriber
14.4,9,15,Tuesday,Subscriber
12.9,9,15,Tuesday,Customer
7.83,9,16,Tuesday,Customer
25.12,9,16,Tuesday,Subscriber
8.3,9,17,Tuesday,Subscriber
4.93,9,17,Tuesday,Subscriber
12.43,9,17,Tuesday,Subscriber
10.6,9,17,Tuesday,Subscriber
6.17,9,17,Tuesday,Subscriber
10.88,9,17,Tuesday,Subscriber
4.78,9,20,Tuesday,Subscriber
15.15,9,6,Wednesday,Subscriber
3.53,9,7,Wednesday,Subscriber
9.43,9,8,Wednesday,Subscriber
13.23,9,9,Wednesday,Customer
11.72,9,9,Wednesday,Subscriber
9.85,9,10,Wednesday,Subscriber
5.22,9,11,Wednesday,Subscriber
15.1,9,11,Wednesday,Customer
3.95,9,11,Wednesday,Subscriber
3.17,9,11,Wednesday,Subscriber
8.78,9,12,Wednesday,Subscriber
1.88,9,12,Wednesday,Subscriber
4.55,9,14,Wednesday,Subscriber
12.68,9,15,Wednesday,Subscriber
12.38,9,16,Wednesday,Subscriber
9.78,9,16,Wednesday,Subscriber
7.63,9,17,Wednesday,Subscriber
6.45,9,17,Wednesday,Subscriber
17.38,9,17,Wednesday,Subscriber
11.9,9,17,Wednesday,Subscriber
11.52,9,18,Wednesday,Subscriber
8.63,9,18,Wednesday,Subscriber
9.97,9,18,Wednesday,Subscriber
4.08,9,6,Thursday,Subscriber
13.93,9,6,Thursday,Subscriber
6.78,9,6,Thursday,Subscriber
11.42,9,7,Thursday,Subscriber
10.73,9,7,Thursday,Subscriber
6.37,9,7,Thursday,Subscriber
11.32,9,8,Thursday,Subscriber
9.25,9,8,Thursday,Subscriber
11.6,9,8,Thursday,Subscriber
9.03,9,8,Thursday,Subscriber
8.32,9,8,Thursday,Subscriber
13.97,9,8,Thursday,Subscriber
4.35,9,9,Thursday,Subscriber
4.63,9,9,Thursday,Subscriber
380.15,9,11,Thursday,Customer
