duration,month,hour,day_of_week,user_type
15.43,3,23,Thursday,Subscriber
3.3,3,22,Thursday,Subscriber
2.07,3,22,Thursday,Subscriber
19.68,3,22,Thursday,Subscriber
10.93,3,22,Thursday,Subscriber
19.0,3,21,Thursday,Subscriber
6.97,3,21,Thursday,Subscriber
17.03,3,20,Thursday,Subscriber
6.12,3,20,Thursday,Subscriber
6.32,3,20,Thursday,Subscriber
11.3,3,20,Thursday,Subscriber
8.3,3,20,Thursday,Subscriber
8.28,3,19,Thursday,Subscriber
36.03,3,19,Thursday,Subscriber
5.83,3,19,Thursday,Subscriber
5.35,3,19,Thursday,Subscriber
6.42,3,19,Thursday,Subscriber
12.13,3,19,Thursday,Subscriber
2.53,3,19,Thursday,Subscriber
8.7,3,19,Thursday,Subscriber
6.93,3,19,Thursday,Subscriber
13.72,3,18,Thursday,Subscriber
20.07,3,18,Thursday,Subscriber
21.82,3,18,Thursday,Customer
14.28,3,18,Thursday,Subscriber
6.27,3,18,Thursday,Subscriber
10.3,3,18,Thursday,Subscriber
4.73,3,18,Thursday,Subscriber
9.12,3,18,Thursday,Subscriber
4.27,3,17,Thursday,Subscriber
7.8,3,17,Thursday,Subscriber
9.72,3,17,Thursday,Subscriber
2.47,3,17,Thursday,Subscriber
14.57,3,17,Thursday,Subscriber
4.75,3,17,Thursday,Subscriber
9.35,3,17,Thursday,Subscriber
4.53,3,17,Thursday,Subscriber
5.25,3,17,Thursday,Subscriber
14.43,3,17,Thursday,Subscriber
22.32,3,17,Thursday,Customer
20.92,3,17,Thursday,Subscriber
9.73,3,17,Thursday,Subscriber
6.18,3,17,Thursday,Subscriber
10.33,3,17,Thursday,Subscriber
29.8,3,17,Thursday,Subscriber
2.48,3,17,Thursday,Subscriber
12.18,3,17,Thursday,Subscriber
10.38,3,17,Thursday,Subscriber
14.22,3,17,Thursday,Subscriber
5.87,3,17,Thursday,Subscriber
12.75,3,17,Thursday,Subscriber
10.7,3,17,Thursday,Subscriber
6.58,3,17,Thursday,Subscriber
14.02,3,17,Thursday,Subscriber
5.65,3,16,Thursday,Subscriber
8.12,3,16,Thursday,Subscriber
19.05,3,16,Thursday,Subscriber
12.28,3,16,Thursday,Subscriber
8.48,3,16,Thursday,Subscriber
10.02,3,16,Thursday,Subscriber
4.38,3,16,Thursday,Subscriber
9.03,3,16,Thursday,Subscriber
18.03,3,16,Thursday,Subscriber
26.37,3,16,Thursday,Customer
3.43,3,16,Thursday,Subscriber
12.33,3,16,Thursday,Customer
16.62,3,16,Thursday,Subscriber
2.85,3,16,Thursday,Subscriber
37.75,3,16,Thursday,Subscriber
25.7,3,15,Thursday,Customer
11.45,3,15,Thursday,Subscriber
11.37,3,15,Thursday,Subscriber
8.78,3,15,Thursday,Subscriber
30.5,3,15,Thursday,Subscriber
29.58,3,15,Thursday,Customer
23.67,3,15,Thursday,Subscriber
3.87,3,15,Thursday,Subscriber
3.1,3,15,Thursday,Subscriber
10.67,3,14,Thursday,Customer
16.58,3,14,Thursday,Subscriber
24.8,3,14,Thursday,Customer
10.05,3,14,Thursday,Subscriber
5.9,3,14,Thursday,Customer
25.73,3,14,Thursday,Subscriber
3.5,3,14,Thursday,Subscriber
189.93,3,14,Thursday,Subscriber
6.0,3,13,Thursday,Subscriber
1.1,3,13,Thursday,Subscriber
26.17,3,13,Thursday,Customer
91.3,3,12,Thursday,Customer
5.25,3,12,Thursday,Subscriber
7.83,3,12,Thursday,Subscriber
4.35,3,11,Thursday,Subscriber
8.8,3,11,Thursday,Subscriber
10.7,3,11,Thursday,Subscriber
9.48,3,11,Thursday,Subscriber
14.4,3,11,Thursday,Subscriber
42.6,3,11,Thursday,Customer
5.43,3,11,Thursday,Subscriber
16.52,3,10,Thursday,Subscriber
4.65,3,10,Thursday,Subscriber
2.82,3,9,Thursday,Subscriber
7.52,3,9,Thursday,Subscriber
10.55,3,9,Thursday,Subscriber
21.7,3,9,Thursday,Subscriber
12.07,3,8,Thursday,Subscriber
13.25,3,8,Thursday,Subscriber
18.0,3,8,Thursday,Subscriber
7.03,3,8,Thursday,Subscriber
20.92,3,8,Thursday,Customer
9.33,3,8,Thursday,Subscriber
3.37,3,7,Thursday,Subscriber
7.48,3,7,Thursday,Subscriber
6.88,3,7,Thursday,Subscriber
2.45,3,7,Thursday,Subscriber
3.45,3,7,Thursday,Subscriber
7.53,3,6,Thursday,Subscriber
11.83,3,6,Thursday,Subscriber
6.98,3,6,Thursday,Subscriber
7.52,3,6,Thursday,Subscriber
6.78,3,4,Thursday,Subscriber
9.83,3,0,Thursday,Subscriber
17.9,3,23,Wednesday,Subscriber
17.22,3,21,Wednesday,Subscriber
12.33,3,21,Wednesday,Subscriber
11.45,3,19,Wednesday,Subscriber
3.33,3,19,Wednesday,Subscriber
10.37,3,19,Wednesday,Subscriber
14.05,3,19,Wednesday,Subscriber
10.38,3,19,Wednesday,Subscriber
6.5,3,19,Wednesday,Subscriber
24.75,3,19,Wednesday,Subscriber
6.83,3,18,Wednesday,Subscriber
10.63,3,18,Wednesday,Subscriber
5.5,3,18,Wednesday,Subscriber
2.33,3,18,Wednesday,Subscriber
6.02,3,18,Wednesday,Subscriber
16.05,3,18,Wednesday,Subscriber
9.9,3,17,Wednesday,Subscriber
18.9,3,17,Wednesday,Subscriber
10.33,3,17,Wednesday,Subscriber
2.45,3,17,Wednesday,Subscriber
22.13,3,17,Wednesday,Subscriber
5.75,3,17,Wednesday,Customer
5.78,3,17,Wednesday,Subscriber
7.65,3,17,Wednesday,Subscriber
20.87,3,17,Wednesday,Subscriber
12.38,3,17,Wednesday,Subscriber
3.58,3,17,Wednesday,Subscriber
3.35,3,17,Wednesday,Subscriber
5.45,3,17,Wednesday,Subscriber
11.28,3,17,Wednesday,Subscriber
9.73,3,17,Wednesday,Subscriber
16.25,3,16,Wednesday,Subscriber
9.58,3,16,Wednesday,Subscriber
3.0,3,16,Wednesday,Subscriber
9.08,3,16,Wednesday,Subscriber
4.88,3,16,Wednesday,Subscriber
10.33,3,16,Wednesday,Subscriber
6.37,3,16,Wednesday,Subscriber
35.78,3,16,Wednesday,Customer
2.6,3,16,Wednesday,Subscriber
11.25,3,15,Wednesday,Subscriber
11.53,3,15,Wednesday,Subscriber
27.65,3,15,Wednesday,Customer
10.28,3,15,Wednesday,Subscriber
4.7,3,15,Wednesday,Subscriber
12.02,3,15,Wednesday,Subscriber
10.53,3,15,Wednesday,Subscriber
10.78,3,15,Wednesday,Subscriber
40.58,3,15,Wednesday,Customer
14.42,3,15,Wednesday,Subscriber
12.95,3,15,Wednesday,Subscriber
8.0,3,15,Wednesday,Customer
10.92,3,15,Wednesday,Subscriber
16.37,3,15,Wednesday,Customer
18.35,3,15,Wednesday,Subscriber
9.97,3,14,Wednesday,Subscriber
5.98,3,14,Wednesday,Subscriber
5.63,3,14,Wednesday,Subscriber
3.32,3,14,Wednesday,Subscriber
14.95,3,14,Wednesday,Subscriber
19.15,3,14,Wednesday,Subscriber
5.6,3,13,Wednesday,Subscriber
50.6,3,13,Wednesday,Customer
10.65,3,13,Wednesday,Subscriber
5.28,3,13,Wednesday,Subscriber
20.53,3,13,Wednesday,Subscriber
12.18,3,13,Wednesday,Subscriber
4.82,3,13,Wednesday,Subscriber
15.32,3,13,Wednesday,Subscriber
