duration,month,hour,day_of_week,user_type
7.12,3,22,Thursday,Subscriber
9.79,3,22,Thursday,Subscriber
6.63,3,22,Thursday,Subscriber
7.4,3,22,Thursday,Subscriber
13.01,3,22,Thursday,Subscriber
17.06,3,22,Thursday,Subscriber
11.01,3,22,Thursday,Subscriber
30.01,3,21,Thursday,Subscriber
3.63,3,21,Thursday,Subscriber
6.59,3,21,Thursday,Subscriber
16.91,3,21,Thursday,Customer
4.02,3,21,Thursday,Subscriber
103.0,3,21,Thursday,Customer
23.83,3,21,Thursday,Subscriber
2.5,3,20,Thursday,Subscriber
2.39,3,20,Thursday,Subscriber
9.67,3,20,Thursday,Customer
5.0,3,20,Thursday,Subscriber
3.78,3,20,Thursday,Subscriber
19.57,3,20,Thursday,Subscriber
7.24,3,20,Thursday,Subscriber
37.02,3,20,Thursday,Subscriber
6.35,3,19,Thursday,Subscriber
5.22,3,19,Thursday,Subscriber
12.38,3,19,Thursday,Subscriber
12.9,3,19,Thursday,Customer
6.35,3,19,Thursday,Subscriber
20.27,3,19,Thursday,Subscriber
5.16,3,19,Thursday,Subscriber
25.3,3,19,Thursday,Customer
12.02,3,19,Thursday,Subscriber
36.02,3,18,Thursday,Customer
14.83,3,18,Thursday,Subscriber
17.09,3,18,Thursday,Subscriber
91.17,3,18,Thursday,Subscriber
5.48,3,18,Thursday,Subscriber
8.16,3,18,Thursday,Subscriber
7.16,3,18,Thursday,Subscriber
5.24,3,18,Thursday,Subscriber
17.67,3,18,Thursday,Subscriber
13.23,3,18,Thursday,Customer
18.5,3,18,Thursday,Subscriber
23.23,3,18,Thursday,Subscriber
13.99,3,18,Thursday,Subscriber
12.96,3,18,Thursday,Subscriber
12.16,3,18,Thursday,Subscriber
17.85,3,18,Thursday,Subscriber
19.79,3,18,Thursday,Subscriber
7.61,3,18,Thursday,Subscriber
12.44,3,18,Thursday,Subscriber
3.61,3,18,Thursday,Subscriber
15.78,3,17,Thursday,Subscriber
23.07,3,17,Thursday,Customer
20.38,3,17,Thursday,Subscriber
10.41,3,17,Thursday,Subscriber
14.76,3,17,Thursday,Subscriber
13.55,3,17,Thursday,Subscriber
20.33,3,17,Thursday,Subscriber
24.52,3,17,Thursday,Subscriber
